text,label
"Dear user, your account has been suspended. Click here to verify: http://fakebank.com",phishing
"Hi John, let's meet tomorrow for lunch.",legitimate
You've won a free iPhone! Claim now by clicking http://scamoffer.com,phishing
Monthly sales report is attached. Let me know your thoughts.,legitimate
Security alert: unusual login detected. Confirm your identity here: http://phishy.com,phishing
Team meeting is scheduled for Monday at 10 AM.,legitimate
Update your billing information to avoid service interruption: http://fraudpay.net,phishing
Happy birthday! Hope you have a great year ahead.,legitimate
Final warning! Your email account will be deactivated. http://dangerlink.net,phishing
Lunch at 1? Let me know what works for you.,legitimate
Win a free cruise to the Bahamas. Register now at http://wintrip.com,phishing
Please review the attached invoice and let me know if you have any questions.,legitimate
Get cheap meds without prescription at http://medscam.org,phishing
Reminder: doctor's appointment tomorrow at 3 PM.,legitimate
Act now! Limited time offer for exclusive deals http://limiteddealz.co,phishing
Here's the agenda for tomorrow's client meeting.,legitimate
Suspicious activity found in your account. Reset password now: http://suspicious.org,phishing
Can you share the presentation slides from last week?,legitimate
This is to inform you that you've been selected for a reward. http://rewardnow.biz,phishing
Don't forget to submit your timesheet by Friday.,legitimate
Free gift cards available! Enter your details at http://giftzone.net,phishing
Project deadline has been extended by one week.,legitimate
Urgent: update your account credentials http://urgentupdate.org,phishing
Looking forward to our coffee chat next week!,legitimate
Verify your identity to avoid suspension http://idverify.net,phishing
Team lunch this Friday! RSVP soon.,legitimate
New login detected from an unknown device http://loginalert.org,phishing
"Meeting moved to 3 PM, please update your calendar.",legitimate
Unlock your prize now: http://unlocknow.com,phishing
Thanks for your feedback on the report.,legitimate
Account compromised. Recover access here: http://recovernow.biz,phishing
Weekly team sync is now on Thursdays.,legitimate
Reactivate your subscription at http://rebootservice.io,phishing
Appreciate your input on the proposal draft.,legitimate
You are eligible for a special cashback offer! http://cashback.biz,phishing
Please find the attached minutes of meeting.,legitimate
Congratulations! You're the winner of our sweepstakes http://winnerzone.net,phishing
Join us for the product webinar on Wednesday.,legitimate
Alert: payment declined. Update info here http://alertpay.com,phishing
Let's finalize the budget before next week.,legitimate
Phishing attempt detected! Secure your email at http://emailguard.net,phishing
Nice work on the last deployment.,legitimate
Confirm your billing to avoid penalties http://securepay.io,phishing
Hope your vacation was refreshing!,legitimate
Reset your password immediately: http://passwordreset.net,phishing
Catch up call this afternoon?,legitimate
Unusual transaction spotted. Click to verify: http://bankalert.com,phishing
"FYI, the server will be under maintenance tonight.",legitimate
Click to claim your bonus: http://bonusclaim.org,phishing
Cheers for the great quarter results!,legitimate
